joint1,joint2,joint3,joint4,joint5,joint6
-3.1944501620507734e-13,-0.5235987666667095,2.094395066666684,-3.96295620213913e-14,-1.5707963000000436,-3.833606521013128e-13
-3.215573471239614e-13,-0.5235987666667096,2.094395066666684,-3.989121959132663e-14,-1.5707963000000436,-3.858959004889817e-13
-3.2366965185749043e-13,-0.5235987666667097,2.094395066666684,-4.01527968472016e-14,-1.5707963000000436,-3.8843120744196457e-13
-3.2578194088420895e-13,-0.5235987666667098,2.094395066666684,-4.041471052835936e-14,-1.5707963000000436,-3.909665838702544e-13
-3.2789423768427725e-13,-0.5235987666667099,2.094395066666684,-4.0676291404238697e-14,-1.5707963000000436,-3.9350193436055135e-13
-3.3000651920050237e-13,-0.52359876666671,2.094395066666684,-4.093803075508376e-14,-1.5707963000000436,-3.9603734687032644e-13
-3.3211878859323647e-13,-0.5235987666667101,2.094395066666684,-4.1200116243303297e-14,-1.5707963000000436,-3.985728247280518e-13
-3.342310611647697e-13,-0.5235987666667102,2.094395066666684,-4.1462193495855e-14,-1.5707963000000436,-4.011082798085747e-13
-3.363433357405634e-13,-0.5235987666667103,2.094395066666684,-4.1724160317711376e-14,-1.5707963000000436,-4.036437234588225e-13
-3.3845558720581287e-13,-0.5235987666667105,2.094395066666684,-4.198609483958564e-14,-1.5707963000000436,-4.0617930074452454e-13
-3.405678441928117e-13,-0.5235987666667106,2.094395066666684,-4.2248080270053526e-14,-1.5707963000000436,-4.0871478658428195e-13
-3.4268011443886826e-13,-0.5235987666667107,2.094395066666684,-4.251008099991487e-14,-1.5707963000000436,-4.1125014199922187e-13
-3.4479239635124807e-13,-0.5235987666667108,2.094395066666684,-4.277215651258626e-14,-1.5707963000000436,-4.137853709217535e-13
-3.4690468750404815e-13,-0.5235987666667109,2.094395066666684,-4.303428402428953e-14,-1.5707963000000436,-4.1632058901816013e-13
-3.4901697379733945e-13,-0.523598766666711,2.094395066666684,-4.329654889107789e-14,-1.5707963000000436,-4.1885586553559965e-13
-3.511292647965958e-13,-0.5235987666667111,2.094395066666684,-4.35588009219254e-14,-1.5707963000000436,-4.2139112217560576e-13
-3.532415335290663e-13,-0.5235987666667112,2.094395066666684,-4.382109321658182e-14,-1.5707963000000436,-4.2392644730392396e-13
-3.553538012836412e-13,-0.5235987666667113,2.094395066666684,-4.4083725739851935e-14,-1.5707963000000436,-4.2646190926219337e-13
-3.574660782346532e-13,-0.5235987666667115,2.094395066666684,-4.434610673528651e-14,-1.5707963000000436,-4.289973683502397e-13
-3.5957838367531677e-13,-0.5235987666667116,2.094395066666684,-4.4608775397708193e-14,-1.5707963000000436,-4.3153269304484864e-13
-3.61690677187898e-13,-0.5235987666667117,2.094395066666684,-4.4871224263493e-14,-1.5707963000000436,-4.340679925128416e-13
-3.6380296118314434e-13,-0.5235987666667118,2.094395066666684,-4.513377509860114e-14,-1.5707963000000436,-4.3660326734427677e-13
-3.659152584289695e-13,-0.5235987666667119,2.094395066666684,-4.539627090391559e-14,-1.5707963000000436,-4.3913845061201333e-13
-3.680275579070603e-13,-0.523598766666712,2.094395066666684,-4.5658831218021755e-14,-1.5707963000000436,-4.416735525620507e-13
-3.701398598272544e-13,-0.5235987666667121,2.094395066666684,-4.5921347475370376e-14,-1.5707963000000436,-4.4420856822245866e-13
-3.7225216318979875e-13,-0.5235987666667122,2.094395066666684,-4.618410856986286e-14,-1.5707963000000436,-4.4674358179374233e-13
-3.7436447990509403e-13,-0.5235987666667123,2.094395066666684,-4.644683224430456e-14,-1.5707963000000436,-4.4927859405307463e-13
-3.7647680389814114e-13,-0.5235987666667125,2.094395066666684,-4.6709479136106195e-14,-1.5707963000000436,-4.518136109005097e-13
-3.785891338819658e-13,-0.5235987666667126,2.094395066666684,-4.6971802490728986e-14,-1.5707963000000436,-4.5434859579181444e-13
-3.807014817575012e-13,-0.5235987666667127,2.094395066666684,-4.7234547360485225e-14,-1.5707963000000436,-4.568835786165718e-13
-3.828138109331518e-13,-0.5235987666667128,2.094395066666684,-4.74969600409939e-14,-1.5707963000000436,-4.594186992385899e-13
-3.8492612831384557e-13,-0.5235987666667129,2.094395066666684,-4.775947874051181e-14,-1.5707963000000436,-4.619539642052748e-13
-3.8703846595885225e-13,-0.523598766666713,2.094395066666684,-4.8021812443684115e-14,-1.5707963000000436,-4.644891448928398e-13
-3.89150807721476e-13,-0.523598766666713,2.094395066666684,-4.828425157543116e-14,-1.5707963000000436,-4.670244733495263e-13
-3.9126316068941725e-13,-0.523598766666713,2.094395066666684,-4.854681447063306e-14,-1.5707963000000436,-4.695597785589777e-13
-3.933755227635815e-13,-0.523598766666713,2.094395066666684,-4.880946612890888e-14,-1.5707963000000436,-4.720950594688206e-13
-3.9548789243597287e-13,-0.523598766666713,2.094395066666684,-4.9072187239856216e-14,-1.5707963000000436,-4.746303156800848e-13
-3.976002684774231e-13,-0.523598766666713,2.094395066666684,-4.933500566125805e-14,-1.5707963000000436,-4.77165547070275e-13
-3.997126495168587e-13,-0.523598766666713,2.094395066666684,-4.959784527266319e-14,-1.5707963000000436,-4.797007532913895e-13
-4.01825034718284e-13,-0.523598766666713,2.094395066666684,-4.9860736813467523e-14,-1.5707963000000436,-4.822359345867606e-13
-4.039374233263186e-13,-0.523598766666713,2.094395066666684,-5.012366673229082e-14,-1.5707963000000436,-4.847710912463517e-13
-4.0604981472317504e-13,-0.523598766666713,2.094395066666684,-5.0386622524957085e-14,-1.5707963000000436,-4.873062236780458e-13
-4.0816220867220406e-13,-0.523598766666713,2.094395066666684,-5.0649652682085916e-14,-1.5707963000000436,-4.8984133270322e-13
-4.102746046500348e-13,-0.523598766666713,2.094395066666684,-5.0912747286467434e-14,-1.5707963000000436,-4.923764187520234e-13
-4.123870022119739e-13,-0.523598766666713,2.094395066666684,-5.1175897460771133e-14,-1.5707963000000436,-4.949114823052542e-13
-4.144994012626257e-13,-0.523598766666713,2.094395066666684,-5.1439109215081735e-14,-1.5707963000000436,-4.97446524225984e-13
-4.1661180142473804e-13,-0.523598766666713,2.094395066666684,-5.1702375740649146e-14,-1.5707963000000436,-4.999815449964784e-13
-4.187242026491859e-13,-0.523598766666713,2.094395066666684,-5.196570511350195e-14,-1.5707963000000436,-5.02516545459812e-13
-4.208366045713086e-13,-0.523598766666713,2.094395066666684,-5.2229046740741296e-14,-1.5707963000000436,-5.05051526040704e-13
-4.2294900717434416e-13,-0.523598766666713,2.094395066666684,-5.249245660851199e-14,-1.5707963000000436,-5.075864875475662e-13
-4.250614101551096e-13,-0.523598766666713,2.094395066666684,-5.2755885676718594e-14,-1.5707963000000436,-5.101214304106609e-13
-4.2717381352446396e-13,-0.523598766666713,2.094395066666684,-5.3019345634193254e-14,-1.5707963000000436,-5.126563554085938e-13
-4.292862172549294e-13,-0.523598766666713,2.094395066666684,-5.328284919509352e-14,-1.5707963000000436,-5.151912632414089e-13
-4.3139862134285995e-13,-0.523598766666713,2.094395066666684,-5.3546409591606507e-14,-1.5707963000000436,-5.177261546072869e-13
-4.335110257724517e-13,-0.523598766666713,2.094395066666684,-5.381004082698037e-14,-1.5707963000000436,-5.202610301636615e-13
-4.356234304972743e-13,-0.523598766666713,2.094395066666684,-5.407371182732901e-14,-1.5707963000000436,-5.227958905037778e-13
-4.3773583547379345e-13,-0.523598766666713,2.094395066666684,-5.433743813759684e-14,-1.5707963000000436,-5.253307361987794e-13
